  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:05 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:08 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:02 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [watchdog/0]
   11 ?        S      0:00 [watchdog/1]
   12 ?        S      0:00 [migration/1]
   13 ?        S      0:08 [ksoftirqd/1]
   15 ?        S<     0:00 [kworker/1:0H]
   16 ?        S<     0:00 [khelper]
   17 ?        S      0:00 [kdevtmpfs]
   18 ?        S<     0:00 [netns]
   19 ?        S<     0:00 [writeback]
   20 ?        S<     0:00 [kintegrityd]
   21 ?        S<     0:00 [bioset]
   22 ?        S<     0:00 [kworker/u5:0]
   23 ?        S<     0:00 [kblockd]
   24 ?        S<     0:00 [ata_sff]
   25 ?        S      0:00 [khubd]
   26 ?        S<     0:00 [md]
   27 ?        S<     0:00 [devfreq_wq]
   30 ?        S      0:00 [khungtaskd]
   31 ?        S      0:00 [kswapd0]
   32 ?        SN     0:00 [ksmd]
   33 ?        SN     0:00 [khugepaged]
   34 ?        S      0:00 [fsnotify_mark]
   35 ?        S      0:00 [ecryptfs-kthrea]
   36 ?        S<     0:00 [crypto]
   48 ?        S<     0:00 [kthrotld]
   70 ?        S<     0:00 [deferwq]
   71 ?        S<     0:00 [charger_manager]
  114 ?        S      0:00 [scsi_eh_0]
  115 ?        S      0:00 [scsi_eh_1]
  116 ?        S      0:00 [scsi_eh_2]
  117 ?        S<     0:00 [kpsmoused]
  118 ?        S      0:00 [scsi_eh_3]
  169 ?        S      0:00 [jbd2/sda2-8]
  170 ?        S<     0:00 [ext4-rsv-conver]
  320 ?        S      0:00 upstart-udev-bridge --daemon
  335 ?        Ss     0:00 /lib/systemd/systemd-udevd --daemon
  363 ?        S      0:00 [jbd2/sda3-8]
  368 ?        S<     0:00 [ext4-rsv-conver]
  466 ?        S<     0:00 [cfg80211]
  473 ?        Ss     0:07 dbus-daemon --system --fork
  482 ?        S<     0:00 [kworker/u5:2]
  521 ?        Ss     0:00 /usr/sbin/bluetoothd
  548 ?        S<     0:00 [krfcommd]
  562 ?        Ss     0:00 /lib/systemd/systemd-logind
  573 ?        Ssl    0:00 rsyslogd
  589 ?        S      0:00 avahi-daemon: running [francesco-N150-N210-N220.local]
  590 ?        S      0:00 avahi-daemon: chroot helper
  633 ?        S<     0:00 [led_workqueue]
  677 ?        S<     0:00 [hd-audio0]
  726 ?        Ssl    0:00 /usr/sbin/ModemManager
  751 ?        Ssl    0:07 NetworkManager
  763 ?        Sl     0:01 /usr/lib/policykit-1/polkitd --no-debug
  953 tty4     Ss+    0:00 /sbin/getty -8 38400 tty4
  958 tty5     Ss+    0:00 /sbin/getty -8 38400 tty5
  966 tty2     Ss+    0:00 /sbin/getty -8 38400 tty2
  967 tty3     Ss+    0:00 /sbin/getty -8 38400 tty3
  970 tty6     Ss+    0:00 /sbin/getty -8 38400 tty6
 1047 ?        Ss     0:00 atd
 1048 ?        Ss     0:00 cron
 1049 ?        Ss     0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
 1111 ?        Ssl    0:00 whoopsie
 1137 ?        Ss     0:01 /sbin/wpa_supplicant -B -P /run/sendsigs.omit.d/wpasupplicant.pid -u -s -O /var/run/wpa_supplicant
 1175 ?        Ss     0:00 /usr/sbin/kerneloops
 1213 ?        SLsl   0:00 lightdm
 1248 tty7     Ss+    1:58 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
 1253 ?        Sl     0:00 /usr/lib/accountsservice/accounts-daemon
 1256 ?        Ss     0:00 /usr/sbin/cups-browsed
 1276 tty1     Ss+    0:00 /sbin/getty -8 38400 tty1
 1296 ?        S      0:00 upstart-socket-bridge --daemon
 1300 ?        S      0:00 upstart-file-bridge --daemon
 1318 ?        S      0:00 [kauditd]
 1388 ?        S      0:00 python /usr/lib/samsung-tools/system-service.py
 1390 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
 1539 ?        Sl     0:00 lightdm --session-child 12 19
 1580 ?        Sl     0:01 /usr/lib/upower/upowerd
 1606 ?        SNl    0:00 /usr/lib/rtkit/rtkit-daemon
 1808 ?        Sl     0:00 /usr/lib/colord/colord
 1841 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1843 ?        Ss     0:01 init --user
 1925 ?        S      0:00 dbus-launch --autolaunch=8a8f81f3abdd6dbc290412f60000000a --binary-syntax --close-stderr
 1927 ?        Ss     0:00 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 1941 ?        Ss     0:03 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-XnY2bx7qcT
 1952 ?        Ss     0:00 upstart-event-bridge
 1955 ?        Ss     0:00 /usr/lib/i386-linux-gnu/hud/window-stack-bridge
 1983 ?        S      0:00 upstart-file-bridge --daemon --user
